"state","location","both_sexes_2012","females_2012","males_2012","diff_2012"
"Missouri","St. Louis City",60.4,53.2,67.8,14.6
"Missouri","St. Louis County",63.2,58.3,68.3,10
"Missouri","Ste. Genevieve County",49.7,39.1,60.6,21.5
"Missouri","Stoddard County",43,33.1,53.2,20.1
"Missouri","Stone County",43.4,34.7,52.4,17.7
"Missouri","Sullivan County",43.9,32.7,55.5,22.8
"Missouri","Taney County",41.8,32.4,51.6,19.2
"Missouri","Texas County",36.6,28.9,44.7,15.8
"Missouri","Vernon County",43.2,34.9,51.8,16.9
"Missouri","Warren County",49.2,43,55.5,12.5
"Missouri","Washington County",38.1,28.6,47.9,19.3
"Missouri","Wayne County",37.5,27.5,47.9,20.4
"Missouri","Webster County",41.5,34.4,48.9,14.5
"Missouri","Worth County",48.5,39.3,58.1,18.8
"Missouri","Wright County",38.5,33.1,44,10.9
